date,decimal,to go
141592,8,373394
3141592,8,373393
841972,41,373392
841971,42,373391
971694,44,373390
971693,46,373389
751058,53,373388
781641,72,373387
781640,73,373386
421171,98,373385
421170,99,373384
211707,99,373383
4211707,99,373382
211706,100,373381
4211706,100,373380
821481,107,373379
821480,108,373378
651328,114,373377
231725,142,373376
2231725,142,373375
481117,157,373374
811175,158,373373
811174,159,373372
111745,159,373371
8111745,159,373370
841027,167,373369
521106,178,373368
211056,179,373367
5211056,179,373366
521105,179,373365
211055,180,373364
5211055,180,373363
381964,202,373362
881098,210,373361
881097,211,373360
461285,224,373359
461284,225,373358
831653,242,373357
831652,243,373356
271202,247,373355
5271202,247,373354
271201,248,373353
5271201,248,373352
712019,248,373351
1201909,250,373350
861045,273,373349
821339,285,373348
491413,299,373347
491412,300,373346
141274,301,373345
9141274,301,373344
141273,302,373343
9141273,302,373342
631559,318,373341
631558,319,373340
881749,323,373339
881748,324,373338
881521,328,373337
881520,329,373336
171536,348,373335
9171536,348,373334
521384,385,373333
841469,390,373332
951941,394,373331
941512,397,373330
941511,398,373329
151161,399,373328
4151161,399,373327
151160,400,373326
4151160,400,373325
511609,400,373324
591953,421,373323
921861,428,373322
861174,431,373321
861173,432,373320
611738,432,373319
381933,436,373318
381932,437,373317
261179,441,373316
3261179,441,373315
611793,442,373314
931051,446,373313
1051185,449,373312
511855,450,373311
511854,451,373310
351886,475,373309
351885,476,373308
891228,487,373307
891227,488,373306
381830,495,373305
8301195,498,373304
8301194,499,373303
491298,503,373302
371907,545,373301
921718,570,373300
921717,571,373299
171763,572,373298
2171763,572,373297
171762,573,373296
2171762,573,373295
931768,578,373294
931767,579,373293
481847,591,373292
481846,592,373291
132001,604,373290
5132001,604,373289
132000,605,373288
5132000,605,373287
681271,611,373286
1271453,614,373285
271453,614,373284
1271453,614,373283
1271452,615,373282
271452,615,373281
1271452,615,373280
771343,631,373279
771342,632,373278
371787,650,373277
721468,655,373276
4301466,674,373275
4301465,675,373274
371051,685,373273
371050,686,373272
4201996,708,373271
542019,708,373270
4201995,709,373269
561121,713,373268
611213,714,373267
611212,715,373266
121290,717,373265
1121290,717,373264
1121290,717,373263
441816,732,373262
181598,734,373261
4181598,734,373260
441815,734,373259
981363,738,373258
981362,740,373257
771309,750,373256
721135,762,373255
721134,769,373254
211349,769,373253
7211349,769,373252
951059,785,373251
731733,790,373250
731732,791,373249
281609,796,373248
3281609,796,373247
631859,801,373246
261931,847,373245
5261931,847,373244
931188,850,373243
311882,851,373242
311881,852,373241
881710,855,373240
7101000,859,373239
171010,859,373238
8171010,859,373237
381421,886,373236
381420,887,373235
171777,893,373234
6171777,893,373233
171776,894,373232
6171776,894,373231
691473,899,373230
731159,926,373229
311596,926,373228
7311596,926,373227
311595,927,373226
7311595,927,373225
751958,949,373224
751957,950,373223
781858,955,373222
781857,956,373221
321712,965,373220
171227,967,373219
2171227,967,373218
171226,968,373217
2171226,968,373216
661300,976,373215
661119,988,373214
611196,988,373213
611195,989,373212
111959,989,373211
6111959,989,373210
921642,996,373209
642019,1000,373208
4201989,1001,373207
572011,1013,373206
572010,1014,373205
7201065,1015,373204
361534,1034,373203
361533,1035,373202
381828,1039,373201
381827,1041,373200
5301853,1060,373199
5301852,1062,373198
941389,1080,373197
891249,1085,373196
721775,1090,373195
791315,1100,373194
131516,1102,373193
9131516,1102,373192
131515,1103,373191
9131515,1103,373190
151557,1104,373189
3151557,1104,373188
541507,1118,373187
541506,1120,373186
331169,1133,373185
331168,1134,373184
311686,1134,373183
3311686,1134,373182
861728,1138,373181
861727,1139,373180
381755,1156,373179
381754,1157,373178
931926,1170,373177
931925,1171,373176
671139,1189,373175
711390,1191,373174
361604,1210,373173
361603,1211,373172
471018,1227,373171
7101819,1229,373170
181943,1231,373169
10181943,1231,373168
181942,1233,373167
10181942,1233,373166
961989,1241,373165
471040,1275,373164
491293,1303,373163
331368,1308,373162
331367,1309,373161
891521,1319,373160
521048,1322,373159
521047,1323,373158
521621,1328,373157
521620,1329,373156
381502,1346,373155
381501,1347,373154
351125,1353,373153
511253,1354,373152
391419,1387,373151
141993,1388,373150
9141993,1388,373149
141992,1389,373148
9141992,1389,373147
781636,1414,373146
341722,1423,373145
341721,1424,373144
721641,1426,373143
641219,1430,373142
121992,1431,373141
4121992,1431,373140
631503,1440,373139
861829,1449,373138
721079,1492,373137
321165,1507,373136
211653,1508,373135
3211653,1508,373134
991199,1538,373133
991198,1539,373132
911988,1539,373131
881835,1543,373130
881834,1544,373129
551818,1576,373128
181842,1578,373127
5181842,1578,373126
181841,1579,373125
5181841,1579,373124
841757,1581,373123
161453,1616,373122
161452,1617,373121
491922,1622,373120
491921,1623,373119
921732,1625,373118
321721,1629,373117
721477,1632,373116
141442,1642,373115
141441,1644,373114
441974,1645,373113
441973,1646,373112
481614,1655,373111
481613,1656,373110
161361,1657,373109
8161361,1657,373108
361157,1660,373107
611574,1661,373106
611573,1662,373105
521335,1670,373104
521334,1671,373103
741849,1678,373102
941433,1700,373101
241686,1713,373100
6241686,1713,373099
251898,1719,373098
6251898,1719,373097
921922,1737,373096
221843,1742,373095
2221843,1742,373094
221842,1743,373093
2221842,1743,373092
671790,1763,373091
791786,1792,373090
681454,1816,373089
541009,1821,373088
251252,1847,373087
2251252,1847,373086
511739,1854,373085
841285,1868,373084
841284,1869,373083
241965,1885,373082
4241965,1885,373081
221066,1896,373080
2221066,1896,373079
661186,1900,373078
611863,1901,373077
391949,1919,373076
471237,1928,373075
371379,1932,373074
371378,1933,373073
371917,1948,373072
191729,1950,373071
7191729,1950,373070
191728,1951,373069
7191728,1951,373068
241389,1971,373067
6241389,1971,373066
581339,1989,373065
951269,2017,373064
671948,2058,373063
671947,2059,373062
451749,2113,373061
651431,2122,373060
431429,2126,373059
221696,2146,373058
7221696,2146,373057
461516,2152,373056
461515,2153,373055
151571,2154,373054
6151571,2154,373053
151570,2156,373052
6151570,2156,373051
741059,2167,373050
9301618,2189,373049
9301617,2190,373048
161754,2191,373047
161753,2192,373046
681383,2201,373045
681382,2202,373044
741559,2220,373043
991856,2224,373042
991855,2225,373041
431049,2244,373040
991246,2291,373039
451244,2311,373038
441366,2315,373037
441365,2316,373036
771569,2331,373035
691436,2335,373034
691435,2338,373033
961609,2349,373032
961608,2350,373031
441695,2356,373030
441694,2357,373029
481585,2393,373028
481584,2394,373027
521385,2432,373026
961164,2462,373025
961163,2463,373024
611636,2463,373023
611635,2464,373022
681743,2495,373021
241125,2501,373020
3241125,2501,373019
411252,2502,373018
411251,2503,373017
1251508,2505,373016
251508,2505,373015
11251508,2505,373014
1251508,2505,373013
1251507,2506,373012
251507,2506,373011
11251507,2506,373010
1251507,2506,373009
451097,2518,373008
451096,2519,373007
971089,2538,373006
931457,2543,373005
931456,2544,373004
691369,2549,373003
691368,2550,373002
861793,2577,373001
861792,2578,373000
971491,2610,372999
971490,2612,372998
261366,2623,372997
5261366,2623,372996
261365,2624,372995
5261365,2624,372994
781893,2632,372993
931298,2636,372992
931297,2637,372991
821683,2644,372990
821682,2647,372989
551324,2681,372988
551323,2682,372987
641452,2689,372986
641451,2690,372985
451524,2692,372984
451523,2693,372983
821051,2725,372982
1051141,2728,372981
511414,2729,372980
511413,2730,372979
141355,2731,372978
1141355,2731,372977
1141355,2731,372976
141354,2732,372975
1141354,2732,372974
1141354,2732,372973
231134,2744,372972
5231134,2744,372971
311343,2745,372970
311342,2746,372969
271661,2750,372968
4271661,2750,372967
661021,2753,372966
1021359,2757,372965
231443,2767,372964
6231443,2767,372963
231442,2769,372962
6231442,2769,372961
371871,2780,372960
871101,2783,372959
711015,2784,372958
711014,2785,372957
1101458,2786,372956
1101457,2787,372955
742007,2809,372954
731058,2814,372953
731057,2815,372952
621984,2825,372951
621983,2826,372950
321446,2848,372949
321445,2849,372948
571387,2853,372947
571386,2854,372946
751944,2860,372945
751943,2861,372944
531910,2877,372943
191048,2878,372942
3191048,2878,372941
481005,2884,372940
491928,2901,372939
491927,2902,372938
781912,2906,372937
191198,2908,372936
8191198,2908,372935
781911,2908,372934
191197,2909,372933
8191197,2909,372932
911979,2909,372931
141966,2922,372930
6141966,2922,372929
451237,2942,372928
371819,2946,372927
181922,2948,372926
7181922,2948,372925
181921,2949,372924
7181921,2949,372923
921799,2953,372922
391016,2959,372921
391015,2960,372920
9101592,2961,372919
9101591,2963,372918
591956,2964,372917
561815,2968,372916
561814,2969,372915
181468,2970,372914
6181468,2970,372913
181467,2971,372912
6181467,2971,372911
751427,2975,372910
751426,2976,372909
691239,2981,372908
231962,3001,372907
4231962,3001,372906
231961,3002,372905
4231961,3002,372904
961568,3004,372903
961567,3005,372902
951465,3017,372901
231604,3028,372900
5231604,3028,372899
231603,3029,372898
5231603,3029,372897
881930,3035,372896
9301421,3038,372895
9301420,3039,372894
621379,3047,372893
621378,3048,372892
221826,3086,372891
7221826,3086,372890
221825,3087,372889
7221825,3087,372888
661501,3097,372887
421503,3103,372886
541467,3129,372885
541466,3130,372884
252015,3137,372883
9252015,3137,372882
5201497,3139,372881
252014,3139,372880
9252014,3139,372879
251867,3153,372878
3251867,3153,372877
251866,3154,372876
3251866,3154,372875
881907,3170,372874
331735,3181,372873
331734,3182,372872
651454,3190,372871
651453,3191,372870
561005,3205,372869
981636,3224,372868
981635,3225,372867
571459,3241,372866
591029,3245,372865
591028,3247,372864
641401,3254,372863
971206,3262,372862
951568,3279,372861
951567,3280,372860
771577,3284,372859
631764,3314,372858
631763,3315,372857
421873,3322,372856
731251,3326,372855
1251471,3329,372854
251471,3329,372853
1251471,3329,372852
471205,3332,372851
281918,3341,372850
9281918,3341,372849
191826,3343,372848
8191826,3343,372847
261861,3347,372846
8261861,3347,372845
861259,3350,372844
861258,3351,372843
321579,3358,372842
791984,3362,372841
841485,3366,372840
841484,3367,372839
291645,3374,372838
8291645,3374,372837
291644,3375,372836
8291644,3375,372835
671167,3402,372834
711672,3403,372833
291098,3409,372832
981691,3413,372831
981690,3414,372830
671275,3430,372829
671274,3431,372828
871835,3443,372827
251211,3459,372826
7251211,3459,372825
251210,3460,372824
7251210,3460,372823
121084,3461,372822
5121084,3461,372821
121083,3462,372820
5121083,3462,372819
791514,3468,372818
791513,3469,372817
151369,3471,372816
9151369,3471,372815
421007,3484,372814
421006,3485,372813
751033,3490,372812
671103,3497,372811
711031,3498,372810
1031413,3501,372809
1031412,3502,372808
141267,3503,372807
3141267,3503,372806
671114,3507,372805
671113,3508,372804
711137,3508,372803
711136,3510,372802
111369,3510,372801
7111369,3510,372800
851639,3521,372799
831502,3526,372798
831501,3528,372797
651512,3536,372796
651511,3537,372795
151169,3538,372794
5151169,3538,372793
151168,3539,372792
5151168,3539,372791
511685,3539,372790
851714,3543,372789
171438,3545,372788
5171438,3545,372787
171437,3546,372786
5171437,3546,372785
761835,3553,372784
351556,3557,372783
331635,3589,372782
